id,title,author,genre,language,publicationYear,publisher,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year
186,The Savage Detectives,Roberto Bolaño,Fiction,English,1998,Anagrama,609,"mexico,literature,travel",4.18,Chile,True,Rómulo Gallegos Prize,Adult,False,1998
187,My Brilliant Friend,Elena Ferrante,Fiction,English,2011,Europa Editions,331,"italy,friendship,coming-of-age",4.0,Italy,True,None,Adult,True,2018
188,The Unbearable Lightness of Being,Milan Kundera,Philosophy,English,1984,Gallimard,320,"philosophy,love,history,prague",4.11,Czech Republic,True,None,Adult,True,1988
189,Blindness,José Saramago,Dystopian,English,1995,Caminho,326,"society,survival,horror",4.14,Portugal,True,Nobel Prize,Adult,True,2008
190,The Trial,Franz Kafka,Absurdist,English,1925,Verlag Die Schmiede,255,"law,surreal,bureaucracy",3.98,Austria,True,None,Adult,True,1962
191,Nausea,Jean-Paul Sartre,Philosophy,English,1938,Gallimard,178,"existentialism,philosophy,france",3.92,France,True,Nobel Prize,Adult,False,1998
192,Waiting for Godot,Samuel Beckett,Play,English,1953,Minuit,109,"absurdism,play,classic",3.83,Ireland,True,Nobel Prize,Adult,True,2001
193,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,Play,English,1966,Faber & Faber,126,"play,humor,absurdism",4.16,UK,True,Tony Award,Adult,True,1990
194,The Metamorphosis,Franz Kafka,Absurdist,English,1915,Kurt Wolff,201,"surreal,classic,alienation",3.82,Austria,True,None,Adult,True,1987
195,Breakfast of Champions,Kurt Vonnegut,Satire,English,1973,Delacorte,303,"humor,satire,drawings",4.08,USA,True,None,Adult,True,1999
196,Cat's Cradle,Kurt Vonnegut,Sci-Fi,English,1963,"Holt, Rinehart and Winston",306,"satire,science,religion,end of world",4.17,USA,True,Hugo Nominee,Adult,False,1998
197,Fear and Loathing in Las Vegas,Hunter S. Thompson,Gonzo Journalism,English,1971,Random House,204,"drugs,journalism,humor",4.08,USA,True,None,Adult,True,1998
198,No Country for Old Men,Cormac McCarthy,Thriller,English,2005,Knopf,309,"crime,western,violence",4.15,USA,True,None,Adult,True,2007
199,Blood Meridian,Cormac McCarthy,Western,English,1985,Random House,337,"violence,western,history",4.18,USA,True,None,Adult,False,1998
200,Pale Fire,Vladimir Nabokov,Metafiction,English,1962,Putnam,315,"complex,poetry,satire",4.18,USA,True,None,Adult,False,1998
201,A Study in Scarlet,Arthur Conan Doyle,Detective,English,1887,Ward Lock & Co,123,"mystery,sherlock,classic",4.15,UK,True,None,Adult,True,1933
202,The Hound of the Baskervilles,Arthur Conan Doyle,Detective,English,1902,George Newnes,256,"mystery,horror,classic",4.13,UK,True,None,Adult,True,1939
203,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Detective,English,1892,George Newnes,307,"mystery,short stories,classic",4.3,UK,True,None,Adult,True,1939
204,Do Androids Dream of Electric Sheep?,Philip K. Dick,Sci-Fi,English,1968,Doubleday,244,"cyberpunk,philosophy,ai",4.08,USA,True,Nebula Nominee,Adult,True,1982
205,Ubik,Philip K. Dick,Sci-Fi,English,1969,Doubleday,227,"surreal,philosophy,sci-fi",4.07,USA,True,None,Adult,False,1998
206,2001: A Space Odyssey,Arthur C. Clarke,Sci-Fi,English,1968,New American Library,297,"space,ai,evolution",4.16,UK,True,None,Adult,True,1968
207,Rendezvous with Rama,Arthur C. Clarke,Sci-Fi,English,1973,Gollancz,243,"space,aliens,mystery",4.1,UK,True,"Hugo,Nebula",Adult,False,1998
208,The Left Hand of Darkness,Ursula K. Le Guin,Sci-Fi,English,1969,Ace Books,304,"gender,politics,winter",4.08,USA,True,"Hugo,Nebula",Adult,False,1998
209,A Wizard of Earthsea,Ursula K. Le Guin,Fantasy,English,1968,Parnassus Press,183,"magic,dragons,classic",4.01,USA,True,Lewis Carroll Shelf Award,Young Adult,True,2006
210,The Dispossessed,Ursula K. Le Guin,Sci-Fi,English,1974,Harper & Row,387,"politics,anarchy,utopia",4.23,USA,True,"Hugo,Nebula",Adult,False,1998
211,Kindred,Octavia E. Butler,Sci-Fi,English,1979,Doubleday,264,"time travel,slavery,history",4.26,USA,True,Hugo Award,Adult,True,2022
212,Parable of the Sower,Octavia E. Butler,Dystopian,English,1993,Four Walls Eight Windows,345,"survival,religion,future",4.19,USA,True,Nebula Nominee,Adult,False,1998
213,The Man in the High Castle,Philip K. Dick,Alternate History,English,1962,Putnam,259,"history,war,japan,germany",3.63,USA,True,Hugo Award,Adult,True,2015
214,Starship Troopers,Robert A. Heinlein,Sci-Fi,English,1959,Putnam,263,"war,military,politics",4.0,USA,True,Hugo Award,Adult,True,1997
215,Stranger in a Strange Land,Robert A. Heinlein,Sci-Fi,English,1961,Putnam,528,"philosophy,religion,mars",3.91,USA,True,Hugo Award,Adult,False,1998
216,"I, Robot",Isaac Asimov,Sci-Fi,English,1950,Gnome Press,253,"robots,ai,classic",4.2,USA,True,None,Adult,True,2004
217,The Caves of Steel,Isaac Asimov,Detective Sci-Fi,English,1954,Doubleday,206,"mystery,robots,sci-fi",4.17,USA,True,None,Adult,False,1998
218,Flowers for Algernon,Daniel Keyes,Sci-Fi,English,1966,Harcourt,311,"psychology,sad,classic",4.15,USA,True,Nebula Award,Adult,True,1968
219,A Wrinkle in Time,Madeleine L'Engle,Sci-Fi,English,1962,"Farrar, Straus & Giroux",218,"time travel,family,kids",3.99,USA,True,Newbery Medal,Children,True,2018
220,Bridge to Terabithia,Katherine Paterson,Children's Fiction,English,1977,Crowell,163,"friendship,tragedy,imagination",4.02,USA,True,Newbery Medal,Children,True,2007
221,Holes,Louis Sachar,Adventure,English,1998,"Farrar, Straus and Giroux",233,"mystery,humor,kids",4.18,USA,True,Newbery Medal,Children,True,2003
222,The Phantom Tollbooth,Norton Juster,Fantasy,English,1961,Random House,256,"humor,puns,classic",4.23,USA,True,None,Children,True,1970
223,Charlie and the Chocolate Factory,Roald Dahl,Fantasy,English,1964,Knopf,176,"candy,humor,classic",4.15,UK,True,None,Children,True,1971
224,James and the Giant Peach,Roald Dahl,Fantasy,English,1961,Knopf,146,"adventure,insects,magic",4.02,UK,True,None,Children,True,1996
225,The BFG,Roald Dahl,Fantasy,English,1982,Jonathan Cape,199,"giants,magic,friendship",4.24,UK,True,None,Children,True,2016
226,The Count of Monte Cristo,Alexandre Dumas,Adventure,English,1844,Pétition,1276,"revenge,classic,france,history",4.27,France,True,None,Adult,True,2002
227,The Three Musketeers,Alexandre Dumas,Adventure,English,1844,Baudry,700,"adventure,swords,friendship",4.07,France,True,None,Adult,True,1993
228,Madame Bovary,Gustave Flaubert,Realism,English,1856,Revue de Paris,329,"adultery,classic,tragedy",3.68,France,True,None,Adult,True,2014
229,The Hunchback of Notre-Dame,Victor Hugo,Gothic,English,1831,Gosselin,510,"paris,classic,tragedy",4.0,France,True,None,Adult,True,1996
230,Journey to the Center of the Earth,Jules Verne,Sci-Fi,English,1864,Pierre-Jules Hetzel,240,"adventure,science,classic",3.86,France,True,None,Adult,True,2008
231,Twenty Thousand Leagues Under the Sea,Jules Verne,Adventure,English,1870,Pierre-Jules Hetzel,266,"sea,submarine,classic",3.89,France,True,None,Adult,True,1954
232,Around the World in Eighty Days,Jules Verne,Adventure,English,1872,Pierre-Jules Hetzel,200,"travel,adventure,classic",3.93,France,True,None,Adult,True,2004
233,Notes from Underground,Fyodor Dostoevsky,Philosophy,English,1864,Epoch,96,"philosophy,existentialism,russia",4.17,Russia,True,None,Adult,False,1998
234,The Brothers Karamazov,Fyodor Dostoevsky,Philosophy,English,1880,The Russian Messenger,796,"religion,family,murder",4.32,Russia,True,None,Adult,True,1958
235,The Idiot,Fyodor Dostoevsky,Classic,English,1869,The Russian Messenger,667,"russia,classic,tragedy",4.19,Russia,True,None,Adult,True,1958
236,Dead Souls,Nikolai Gogol,Satire,English,1842,University Press,432,"russia,humor,classic",3.96,Russia,True,None,Adult,True,1984
237,The Master and Margarita,Mikhail Bulgakov,Satire,English,1967,YMCA Press,384,"magic,russia,satire,cats",4.3,Russia,True,None,Adult,True,2024
238,We,Yevgeny Zamyatin,Dystopian,English,1924,Dutton,226,"dystopia,russia,scifi",3.94,Russia,True,Prometheus Hall of Fame,Adult,False,1998
239,Solaris,Stanisław Lem,Sci-Fi,English,1961,MON,204,"space,psychology,philosophy",3.99,Poland,True,None,Adult,True,2002
240,The Witcher: The Last Wish,Andrzej Sapkowski,Fantasy,English,1993,SuperNOWA,288,"magic,monsters,short stories",4.14,Poland,True,None,Adult,True,2019
241,Blood of Elves,Andrzej Sapkowski,Fantasy,English,1994,SuperNOWA,320,"magic,war,destiny",4.09,Poland,True,David Gemmell Legend Award,Adult,True,2019
242,Metro 2033,Dmitry Glukhovsky,Sci-Fi,English,2005,Eksmo,458,"post-apocalyptic,horror,russia",3.95,Russia,True,None,Adult,False,1998
243,Roadside Picnic,Arkady Strugatsky,Sci-Fi,English,1972,Molodaya Gvardiya,145,"aliens,zone,classic",4.24,Russia,True,John W. Campbell Award,Adult,True,1979
244,Heart of Darkness,Joseph Conrad,Novella,English,1899,Blackwood's,77,"colonialism,africa,psychology",3.43,UK,True,None,Adult,True,1993
245,Lord Jim,Joseph Conrad,Adventure,English,1900,Blackwood's,350,"sea,honor,classic",3.7,UK,True,None,Adult,True,1965
246,The Secret Agent,Joseph Conrad,Spy Fiction,English,1907,Methuen,249,"terrorism,london,classic",3.6,UK,True,None,Adult,True,1996
247,Gulliver's Travels,Jonathan Swift,Satire,English,1726,Benjamin Motte,306,"travel,satire,classic",3.57,Ireland,True,None,Adult,True,2010
248,Robinson Crusoe,Daniel Defoe,Adventure,English,1719,William Taylor,320,"survival,island,classic",3.67,UK,True,None,Adult,True,1997
249,Moll Flanders,Daniel Defoe,Picaresque,English,1722,W. Chetwood,336,"crime,history,classic",3.55,UK,True,None,Adult,True,1996
250,The Screwtape Letters,C.S. Lewis,Satire,English,1942,Geoffrey Bles,175,"religion,humor,philosophy",4.23,UK,True,None,Adult,False,1998
251,The Time Machine,H.G. Wells,Sci-Fi,English,1895,Heinemann,118,"time travel,classic,future",3.88,UK,True,None,Adult,True,1960
252,The War of the Worlds,H.G. Wells,Sci-Fi,English,1898,Heinemann,192,"aliens,invasion,classic",3.83,UK,True,None,Adult,True,1953
253,The Invisible Man,H.G. Wells,Sci-Fi,English,1897,C. Arthur Pearson,192,"science,madness,classic",3.65,UK,True,None,Adult,True,1933
254,The Call of the Wild,Jack London,Adventure,English,1903,Macmillan,232,"animals,nature,classic",4.0,USA,True,None,Young Adult,True,2020
255,White Fang,Jack London,Adventure,English,1906,Macmillan,298,"animals,nature,classic",4.0,USA,True,None,Young Adult,True,1991
256,The Adventures of Tom Sawyer,Mark Twain,Adventure,English,1876,American Publishing,244,"classic,childhood,humor",3.92,USA,True,None,Children,True,1938
257,Adventures of Huckleberry Finn,Mark Twain,Adventure,English,1884,Chatto & Windus,366,"classic,race,satire",3.83,USA,True,None,Young Adult,True,1993
258,Carrie,Stephen King,Horror,English,1974,Doubleday,199,"horror,school,powers",3.98,USA,True,None,Adult,True,1976
259,Pet Sematary,Stephen King,Horror,English,1983,Doubleday,395,"horror,death,grief",4.03,USA,True,Locus Nominee,Adult,True,1989
260,Salem's Lot,Stephen King,Horror,English,1975,Doubleday,483,"vampires,horror,small town",4.03,USA,True,World Fantasy Nominee,Adult,True,1979
261,The Call of Cthulhu,H.P. Lovecraft,Horror,English,1928,Weird Tales,43,"horror,cosmic,mythos",4.2,USA,True,None,Adult,True,2005
262,Stardust,Neil Gaiman,Fantasy,English,1999,Spike,248,"magic,romance,fairytale",4.09,UK,True,Mythopoeic Award,Young Adult,True,2007
263,The Graveyard Book,Neil Gaiman,Fantasy,English,2008,HarperCollins,312,"ghosts,growing up,magic",4.12,UK,True,"Newbery Medal,Hugo",Children,False,1998
264,Death on the Nile,Agatha Christie,Mystery,English,1937,Collins Crime Club,288,"crime,egypt,classic",4.11,UK,True,None,Adult,True,1978
265,The Murder of Roger Ackroyd,Agatha Christie,Mystery,English,1926,Collins Crime Club,288,"crime,twist,classic",4.25,UK,True,None,Adult,True,2000
266,The Silkworm,Robert Galbraith,Mystery,English,2014,Sphere,455,"crime,london,publishing",4.05,UK,True,None,Adult,True,2017
267,The Cuckoo's Calling,Robert Galbraith,Mystery,English,2013,Sphere,455,"crime,model,london",3.87,UK,True,Los Angeles Times Book Prize,Adult,True,2017
268,The Sign of Four,Arthur Conan Doyle,Detective,English,1890,Spencer Blackett,129,"mystery,treasure,classic",3.92,UK,True,None,Adult,True,1983
269,Interview with the Vampire,Anne Rice,Horror,English,1976,Knopf,342,"vampires,gothic,history",4.0,USA,True,None,Adult,True,1994
270,The Queen's Gambit,Walter Tevis,Fiction,English,1983,Random House,243,"chess,addiction,genius",4.2,USA,True,None,Adult,True,2020
271,The Princess Bride,William Goldman,Fantasy,English,1973,Harcourt,456,"romance,humor,adventure",4.26,USA,True,None,Young Adult,True,1987
272,The Last Unicorn,Peter S. Beagle,Fantasy,English,1968,Viking Press,294,"magic,classic,animals",4.17,USA,True,Mythopoeic Award,Young Adult,True,1982
273,Howl's Moving Castle,Diana Wynne Jones,Fantasy,English,1986,Greenwillow,329,"magic,romance,studio ghibli",4.29,UK,True,Phoenix Award,Young Adult,True,2004
274,The Neverending Story,Michael Ende,Fantasy,German,1979,Thienemann,396,"magic,books,classic",4.18,Germany,True,None,Children,True,1984
275,Inkheart,Cornelia Funke,Fantasy,German,2003,Dressler,563,"books,magic,adventure",3.89,Germany,True,None,Children,True,2008
276,Artemis Fowl,Eoin Colfer,Fantasy,English,2001,Viking,280,"crime,magic,fairies",3.85,Ireland,True,Young Reader's Choice,Children,True,2020
277,The Lightning Thief,Rick Riordan,Fantasy,English,2005,Hyperion,377,"mythology,gods,adventure",4.26,USA,True,Red House Children's Book Award,Children,True,2010
278,The Golden Compass,Philip Pullman,Fantasy,English,1995,Scholastic,399,"magic,daemons,parallel worlds",3.99,UK,True,Carnegie Medal,Young Adult,True,2007
279,The Subtle Knife,Philip Pullman,Fantasy,English,1997,Scholastic,326,"magic,adventure,worlds",4.14,UK,True,None,Young Adult,True,2019
280,The Amber Spyglass,Philip Pullman,Fantasy,English,2000,Scholastic,518,"epic,philosophy,war",4.09,UK,True,Whitbread Book of the Year,Young Adult,True,2019
281,Eragon,Christopher Paolini,Fantasy,English,2002,Paolini International,503,"dragons,magic,adventure",3.91,USA,True,None,Young Adult,True,2006
282,City of Bones,Cassandra Clare,Fantasy,English,2007,Margaret K. McElderry,485,"demons,romance,urban fantasy",4.09,USA,True,None,Young Adult,True,2013
283,Throne of Glass,Sarah J. Maas,Fantasy,English,2012,Bloomsbury,404,"assassin,magic,romance",4.19,USA,True,None,Young Adult,False,1998
284,A Court of Thorns and Roses,Sarah J. Maas,Fantasy,English,2015,Bloomsbury,419,"romance,fae,retelling",4.18,USA,True,Goodreads Choice Nominee,Adult,False,1998
285,"Red, White & Royal Blue",Casey McQuiston,Romance,English,2019,St. Martin's Griffin,421,"lgbt,romance,politics",4.13,USA,True,Goodreads Choice Award,Adult,True,2023
286,The Hating Game,Sally Thorne,Romance,English,2016,William Morrow,387,"romance,enemies to lovers,humor",3.6,Australia,True,Goodreads Choice Nominee,Adult,True,2021
287,Beach Read,Emily Henry,Romance,English,2020,Berkley,361,"romance,books,summer",4.05,USA,True,Goodreads Choice Nominee,Adult,False,1998
288,Book Lovers,Emily Henry,Romance,English,2022,Berkley,377,"romance,books,sisters",4.32,USA,True,Goodreads Choice Award,Adult,False,1998
289,The Love Hypothesis,Ali Hazelwood,Romance,English,2021,Berkley,384,"romance,science,fake dating",4.14,Italy,True,Goodreads Choice Nominee,Adult,False,1998
290,Me Before You,Jojo Moyes,Romance,English,2012,Pamela Dorman,369,"romance,tragedy,life",4.26,UK,True,None,Adult,True,2016
291,Bridget Jones's Diary,Helen Fielding,Romance,English,1996,Picador,288,"humor,london,romance",3.76,UK,True,British Book Award,Adult,True,2001
292,The Devil Wears Prada,Lauren Weisberger,Fiction,English,2003,Doubleday,360,"fashion,new york,humor",3.75,USA,True,None,Adult,True,2006
293,Confessions of a Shopaholic,Sophie Kinsella,Romance,English,2000,Black Swan,320,"humor,romance,shopping",3.64,UK,True,None,Adult,True,2009
294,High Fidelity,Nick Hornby,Fiction,English,1995,Victor Gollancz,240,"music,romance,humor",3.93,UK,True,None,Adult,True,2000
295,About a Boy,Nick Hornby,Fiction,English,1998,Victor Gollancz,278,"humor,growing up,london",3.8,UK,True,None,Adult,True,2002
296,Crazy Rich Asians,Kevin Kwan,Satire,English,2013,Doubleday,403,"wealth,asia,romance",3.83,Singapore,True,None,Adult,True,2018
297,Requiem for a Dream,Hubert Selby Jr.,Fiction,English,1978,Playboy Press,279,"drugs,tragedy,addiction",4.12,USA,True,None,Adult,True,2000
298,Choke,Chuck Palahniuk,Satire,English,2001,Doubleday,293,"satire,dark,humor",3.68,USA,True,None,Adult,True,2008
299,Trainspotting,Irvine Welsh,Fiction,English,1993,Secker & Warburg,344,"drugs,scotland,dark",4.09,UK,True,None,Adult,True,1996
300,A Scanner Darkly,Philip K. Dick,Sci-Fi,English,1977,Doubleday,219,"drugs,dystopia,paranoia",4.03,USA,True,BSFA Award,Adult,True,2006
301,In Cold Blood,Truman Capote,True Crime,English,1966,Random House,343,"crime,history,journalism",4.08,USA,True,Edgar Award,Adult,True,1967
302,The Silent Patient,Alex Michaelides,Thriller,English,2019,Celadon Books,336,"mystery,twist,psychology",4.17,UK,True,Goodreads Choice Award,Adult,False,1998
303,Digital Fortress,Dan Brown,Thriller,English,1998,St. Martin's Press,384,"tech thriller,espionage",3.6,US,False,None,Adult,True,1999
304,Shutter Island,Dennis Lehane,Thriller,English,2003,HarperCollins,369,"mystery,horror,twist",4.1,USA,True,None,Adult,True,2010
305,Where the Wild Things Are,Maurice Sendak,Children's Fiction,English,1963,Harper & Row,48,"classic,imagination,kids",4.23,USA,True,Caldecott Medal,Children,True,2009
306,The Cat in the Hat,Dr. Seuss,Children's Fiction,English,1957,Random House,61,"rhyme,humor,kids",4.18,USA,True,None,Children,True,2003
307,Green Eggs and Ham,Dr. Seuss,Children's Fiction,English,1960,Random House,62,"rhyme,food,kids",4.3,USA,True,None,Children,True,1998
308,Goodnight Moon,Margaret Wise Brown,Children's Fiction,English,1947,Harper & Brothers,30,"bedtime,kids,classic",4.28,USA,True,None,Children,False,1998
309,The Very Hungry Caterpillar,Eric Carle,Children's Fiction,English,1969,World Publishing,22,"nature,kids,colors",4.31,USA,True,None,Children,False,1998
310,Infinite Jest,David Foster Wallace,Satire,English,1996,"Little, Brown",1079,"complex,tennis,addiction",4.29,USA,True,None,Adult,False,1998
311,Gravity's Rainbow,Thomas Pynchon,Historiographic Metafiction,English,1973,Viking Press,776,"war,complex,postmodern",4.0,USA,True,National Book Award,Adult,False,1998
312,A Thousand Splendid Suns,Khaled Hosseini,Historical Fiction,English,2007,Riverhead Books,384,"war,afghanistan,women",4.42,USA,True,Goodreads Choice Award,Adult,False,1998
313,The Secret Life of Bees,Sue Monk Kidd,Historical Fiction,English,2001,Viking,336,"south,family,race",4.07,USA,True,Book Sense Book of the Year,Young Adult,True,2008
314,Night,Elie Wiesel,Memoir,English,1960,Hill & Wang,115,"holocaust,history,memoir",4.36,Romania,True,Nobel Prize,Adult,False,1998
315,Angela's Ashes,Frank McCourt,Memoir,English,1996,Scribner,368,"ireland,poverty,memoir",4.13,Ireland,True,Pulitzer Prize,Adult,True,1999
316,Tuesdays with Morrie,Mitch Albom,Memoir,English,1997,Doubleday,192,"philosophy,death,inspiration",4.13,USA,True,None,Adult,True,1999
318,Meditations,Marcus Aurelius,Philosophy,English,180,Unknown,254,"stoicism,philosophy,rome",4.26,Italy,True,None,Adult,False,1998
320,The Prince,Niccolò Machiavelli,Philosophy,English,1532,Antonio Blado,140,"politics,power,history",3.83,Italy,True,None,Adult,False,1998
321,Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,English,1883,Chemnitz,352,"philosophy,germany,existentialism",4.08,Germany,True,None,Adult,False,1998
322,Rich Dad Poor Dad,Robert T. Kiyosaki,Finance,English,1997,Plata Publishing,336,"money,business,self-help",4.13,USA,True,None,Adult,False,1998
323,The 7 Habits of Highly Effective People,Stephen R. Covey,Self-Help,English,1989,Free Press,381,"business,psychology,growth",4.15,USA,True,None,Adult,False,1998
324,How to Win Friends and Influence People,Dale Carnegie,Self-Help,English,1936,Simon & Schuster,288,"business,psychology,social",4.22,USA,True,None,Adult,False,1998
325,Good to Great,Jim Collins,Business,English,2001,HarperBusiness,300,"business,management,leadership",4.13,USA,True,None,Adult,False,1998
326,Freakonomics,Steven D. Levitt,Economics,English,2005,William Morrow,320,"economics,sociology,science",3.99,USA,True,None,Adult,True,2010
327,A Brief History of Time,Stephen Hawking,Science,English,1988,Bantam,212,"physics,space,science",4.2,UK,True,None,Adult,True,1991
328,Cosmos,Carl Sagan,Science,English,1980,Random House,365,"space,science,astronomy",4.39,USA,True,Hugo Award,Adult,True,1980
329,The Selfish Gene,Richard Dawkins,Science,English,1976,Oxford University Press,360,"biology,evolution,science",4.16,UK,True,None,Adult,False,1998
330,"Guns, Germs, and Steel",Jared Diamond,History,English,1997,W. W. Norton,480,"anthropology,history,science",4.04,USA,True,Pulitzer Prize,Adult,True,2005
331,Team of Rivals,Doris Kearns Goodwin,Biography,English,2005,Simon & Schuster,944,"history,politics,biography",4.28,USA,True,Lincoln Prize,Adult,True,2012
332,Alexander Hamilton,Ron Chernow,Biography,English,2004,Penguin,818,"history,biography,politics",4.25,USA,True,George Washington Book Prize,Adult,True,2020
333,Unbroken,Laura Hillenbrand,Biography,English,2010,Random House,473,"war,history,survival",4.38,USA,True,None,Adult,True,2014
334,Wild Swans: Three Daughters of China,Jung Chang,Biography,English,1991,Simon & Schuster,524,"china,history,women",4.27,China,True,NCR Book Award,Adult,False,1998
335,Chronicle of a Death Foretold,Gabriel García Márquez,Novella,English,1981,Knopf,120,"mystery,magical realism,crime",3.98,Colombia,True,None,Adult,True,1987
336,Perfume: The Story of a Murderer,Patrick Süskind,Historical Horror,English,1985,Diogenes,263,"horror,france,scent",4.04,Germany,True,World Fantasy Award,Adult,True,2006
337,The Name of the Rose,Umberto Eco,Mystery,English,1980,Bompiani,536,"history,mystery,philosophy",4.13,Italy,True,Strega Prize,Adult,True,1986
338,Foucault's Pendulum,Umberto Eco,Mystery,English,1988,Bompiani,641,"conspiracy,history,complex",3.92,Italy,True,None,Adult,False,1998
339,Half of a Yellow Sun,Chimamanda Ngozi Adichie,Historical Fiction,English,2006,Knopf,433,"africa,war,love",4.33,Nigeria,True,Women's Prize for Fiction,Adult,True,2013
340,Purple Hibiscus,Chimamanda Ngozi Adichie,Fiction,English,2003,Algonquin Books,307,"africa,family,coming-of-age",4.21,Nigeria,True,Commonwealth Writers Prize,Adult,False,1998
341,Middlesex,Jeffrey Eugenides,Historical Fiction,English,2002,"Farrar, Straus & Giroux",529,"gender,family,epic",4.02,USA,True,Pulitzer Prize,Adult,False,1998
342,The Virgin Suicides,Jeffrey Eugenides,Fiction,English,1993,"Farrar, Straus & Giroux",250,"tragedy,mystery,sisters",3.85,USA,True,None,Adult,True,1999
343,A Prayer for Owen Meany,John Irving,Fiction,English,1989,William Morrow,637,"friendship,faith,classic",4.24,USA,True,None,Adult,True,1998
344,The World According to Garp,John Irving,Fiction,English,1978,Dutton,609,"feminism,satire,writing",4.1,USA,True,National Book Award,Adult,True,1982
345,Bel Canto,Ann Patchett,Fiction,English,2001,HarperCollins,318,"music,terrorism,romance",3.93,USA,True,Orange Prize,Adult,True,2018
346,Little Fires Everywhere,Celeste Ng,Mystery,English,2017,Penguin,338,"family,secrets,motherhood",4.09,USA,True,Goodreads Choice Award,Adult,True,2020
347,Doctor Zhivago,Boris Pasternak,Historical Fiction,English,1957,Feltrinelli,592,"russia,war,love,classic",3.99,Russia,True,Nobel Prize,Adult,True,1965
348,Atlas Shrugged,Ayn Rand,Philosophy,English,1957,Random House,1168,"philosophy,politics,controversial",3.69,USA,True,None,Adult,True,2011
349,The Fountainhead,Ayn Rand,Philosophy,English,1943,Bobbs-Merrill,704,"architecture,philosophy,individualism",3.88,USA,True,None,Adult,True,1949
350,The Lost World,Michael Crichton,Sci-Fi,English,1995,Knopf,393,"dinosaurs,adventure,sequel",3.8,USA,True,None,Adult,True,1997
351,The Stand,Stephen King,Horror,English,1978,Doubleday,1152,"post-apocalyptic,good vs evil,epic",4.34,USA,True,None,Adult,True,1994
352,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Gothic,English,1886,"Longmans, Green & Co.",88,"horror,classic,duality",3.82,UK,True,None,Adult,True,1931
353,Treasure Island,Robert Louis Stevenson,Adventure,English,1883,Cassell & Co.,230,"pirates,classic,treasure",3.83,UK,True,None,Children,True,1950
354,Peter Pan,J.M. Barrie,Fantasy,English,1911,Hodder & Stoughton,207,"magic,classic,fairies",4.07,UK,True,None,Children,True,1953
355,The Wind in the Willows,Kenneth Grahame,Children's Fiction,English,1908,Methuen,208,"animals,friendship,classic",3.98,UK,True,None,Children,True,1996
356,Winnie-the-Pooh,A.A. Milne,Children's Fiction,English,1926,Methuen,145,"animals,friendship,classic",4.34,UK,True,None,Children,True,1977
357,Mary Poppins,P.L. Travers,Fantasy,English,1934,Gerald Howe,209,"magic,nanny,classic",3.99,UK,True,None,Children,True,1964
358,Pippi Longstocking,Astrid Lindgren,Children's Fiction,Swedish,1945,Rabén & Sjögren,160,"humor,sweden,classic",4.14,Sweden,True,None,Children,True,1988
359,Anne of Green Gables,L.M. Montgomery,Children's Fiction,English,1908,L.C. Page & Co.,320,"classic,canada,growing up",4.26,Canada,True,None,Children,True,1985
360,Heidi,Johanna Spyri,Children's Fiction,German,1880,Perthes,352,"alps,classic,nature",3.99,Switzerland,True,None,Children,True,1937
361,Black Beauty,Anna Sewell,Children's Fiction,English,1877,Jarrold & Sons,255,"animals,classic,kindness",3.97,UK,True,None,Children,True,1994
362,The Jungle Book,Rudyard Kipling,Adventure,English,1894,Macmillan,277,"animals,india,classic",3.94,India,True,None,Children,True,1967
363,Kim,Rudyard Kipling,Spy Fiction,English,1901,Macmillan,338,"india,espionage,classic",3.75,India,True,None,Adult,True,1950
364,Sense and Sensibility,Jane Austen,Romance,English,1811,Thomas Egerton,409,"classic,romance,sisters",4.07,UK,True,None,Adult,True,1995
365,Emma,Jane Austen,Romance,English,1815,John Murray,474,"classic,romance,humor",4.02,UK,True,None,Adult,True,1996
366,Persuasion,Jane Austen,Romance,English,1817,John Murray,249,"classic,romance,regret",4.14,UK,True,None,Adult,True,2007
367,Mansfield Park,Jane Austen,Romance,English,1814,Thomas Egerton,460,"classic,romance,morality",3.85,UK,True,None,Adult,True,1999
368,Northanger Abbey,Jane Austen,Satire,English,1817,John Murray,260,"classic,satire,gothic",3.83,UK,True,None,Adult,True,2007
369,Tess of the d'Urbervilles,Thomas Hardy,Tragedy,English,1891,James R. Osgood,518,"classic,tragedy,victorian",3.79,UK,True,None,Adult,True,1979
370,Far from the Madding Crowd,Thomas Hardy,Romance,English,1874,Cornhill Magazine,433,"classic,romance,rural",3.95,UK,True,None,Adult,True,2015
371,Middlemarch,George Eliot,Realism,English,1871,Blackwood,904,"classic,society,complex",3.99,UK,True,None,Adult,True,1994
372,Silas Marner,George Eliot,Realism,English,1861,Blackwood,263,"classic,redemption,rural",3.61,UK,True,None,Adult,True,1985
373,David Copperfield,Charles Dickens,Bildungsroman,English,1850,Bradbury & Evans,619,"classic,autobiographical,london",4.0,UK,True,None,Adult,True,1935
374,Oliver Twist,Charles Dickens,Social Novel,English,1838,Richard Bentley,608,"classic,poverty,crime",3.87,UK,True,None,Adult,True,1948
